Name,Role,Team,,,Name,Role,Team
Naman Dhir,All-Rounder,MI,,,Krunal Pandya,All-Rounder,RCB
Mitchell Santner,All-Rounder,MI,,,Swapnil Singh,All-Rounder,RCB
Raj Angad Bawa,All-Rounder,MI,,,Tim David,All-Rounder,RCB
Atharva Ankolekar,All-Rounder,MI,,,Romario Shepherd,All-Rounder,RCB
Mayank Rawat,All-Rounder,MI,,,Jacob Bethell,All-Rounder,RCB
Corbin Bosch,All-Rounder,MI,,,Venkatesh Iyer,All-Rounder,RCB
Will Jacks,All-Rounder,MI,,,Josh Hazlewood,Bowler,RCB
Shardul Thakur,All-Rounder,MI,,,Rasikh Dar,Bowler,RCB
Trent Boult,Bowler,MI,,,Suyash Sharma,Bowler,RCB
Mayank Markande,Bowler,MI,,,Bhuvneshwar Kumar,Bowler,RCB
Deepak Chahar,Bowler,MI,,,Yash Dayal,Bowler,RCB
Ashwani Kumar,Bowler,MI,,,Ishan Kishan,WK-Batter,SRH
Raghu Sharma,Bowler,MI,,,Aniket Verma,Batter,SRH
Mohammad Izhar,Bowler,MI,,,Smaran Ravichandran,Batter,SRH
Allah Ghazanfar,Bowler,MI,,,Heinrich Klaasen,WK-Batter,SRH
Jasprit Bumrah,Bowler,MI,,,Travis Head,Batter,SRH
Shreyas Iyer,Batter,PBKS,,,Harshal Patel,All-Rounder,SRH
Nehal Wadhera,Batter,PBKS,,,Kamindu Mendis,All-Rounder,SRH
Vishnu Vinod,WK-Batter,PBKS,,,Brydon Carse,All-Rounder,SRH
Harnoor Pannu,Batter,PBKS,,,Liam Livingstone,All-Rounder,SRH
Pyla Avinash,Batter,PBKS,,,Abhishek Sharma,All-Rounder,SRH
Prabhsimran Singh,WK-Batter,PBKS,,,Nitish Kumar Reddy,All-Rounder,SRH
Shashank Singh,Batter,PBKS,,,Pat Cummins,Bowler,SRH
Marcus Stoinis,All-Rounder,PBKS,,,Zeeshan Ansari,Bowler,SRH
Harpreet Brar,All-Rounder,PBKS,,,Jaydev Unadkat,Bowler,SRH
Marco Jansen,All-Rounder,PBKS,,,Sakib Hussain,Bowler,SRH
Azmatullah Omarzai,All-Rounder,PBKS,,,Shivam Mavi,Bowler,SRH
Priyansh Arya,All-Rounder,PBKS,,,,,
Musheer Khan,All-Rounder,PBKS,,,,,
Suryansh Shedge,All-Rounder,PBKS,,,,,
Mitch Owen,Batter,PBKS,,,,,
Cooper Connolly,All-Rounder,PBKS,,,,,
Ben Dwarshuis,All-Rounder,PBKS,,,,,
Arshdeep Singh,Bowler,PBKS,,,,,
Yuzvendra Chahal,Bowler,PBKS,,,,,
Vyshak Vijaykumar,Bowler,PBKS,,,,,
Yash Thakur,Bowler,PBKS,,,,,
Xavier Bartlett,Bowler,PBKS,,,,,
Pravin Dubey,Bowler,PBKS,,,,,
Vishal Nishad,Bowler,PBKS,,,,,
Lockie Ferguson,Bowler,PBKS,,,,,
Riyan Parag,Batter,RR,,,,,
Shubham Dubey,Batter,RR,,,,,
Vaibhav Suryavanshi,Batter,RR,,,,,
Donovan Ferreira,WK-Batter,RR,,,,,
Lhuan-Dre Pretorius,Batter,RR,,,,,
Ravi Singh,WK-Batter,RR,,,,,
Aman Rao Perala,Batter,RR,,,,,
Shimron Hetmyer,Batter,RR,,,,,
Yashasvi Jaiswal,Batter,RR,,,,,
Dhruv Jurel,WK-Batter,RR,,,,,
Yudhvir Singh Charak,All-Rounder,RR,,,,,
Ravindra Jadeja,All-Rounder,RR,,,,,
Sam Curran,All-Rounder,RR,,,,,
Jofra Archer,Bowler,RR,,,,,
Tushar Deshpande,Bowler,RR,,,,,
Kwena Maphaka,Bowler,RR,,,,,
Ravi Bishnoi,Bowler,RR,,,,,
Sushant Mishra,Bowler,RR,,,,,
Yash Raj Punja,Bowler,RR,,,,,
Vignesh Puthur,Bowler,RR,,,,,
Brijesh Sharma,Bowler,RR,,,,,
Adam Milne,Bowler,RR,,,,,
Kuldeep Sen,Bowler,RR,,,,,
Sandeep Sharma,Bowler,RR,,,,,
Nandre Burger,Bowler,RR,,,,,
Rajat Patidar,Batter,RCB,,,,,
Devdutt Padikkal,Batter,RCB,,,,,
Virat Kohli,Batter,RCB,,,,,
Phil Salt,WK-Batter,RCB,,,,,
Jitesh Sharma,WK-Batter,RCB,,,,,
Jordan Cox,WK-Batter,RCB,,,,,
Krunal Pandya,All-Rounder,RCB,,,,,
Swapnil Singh,All-Rounder,RCB,,,,,
Tim David,All-Rounder,RCB,,,,,
Romario Shepherd,All-Rounder,RCB,,,,,
Jacob Bethell,All-Rounder,RCB,,,,,
Venkatesh Iyer,All-Rounder,RCB,,,,,
Satvik Deswal,All-Rounder,RCB,,,,,
Mangesh Yadav,All-Rounder,RCB,,,,,
Vicky Ostwal,All-Rounder,RCB,,,,,
Vihaan Malhotra,All-Rounder,RCB,,,,,
Kanishk Chouhan,All-Rounder,RCB,,,,,
Josh Hazlewood,Bowler,RCB,,,,,
Rasikh Dar,Bowler,RCB,,,,,
Suyash Sharma,Bowler,RCB,,,,,
Bhuvneshwar Kumar,Bowler,RCB,,,,,
Nuwan Thushara,Bowler,RCB,,,,,
Abhinandan Singh,Bowler,RCB,,,,,
Jacob Duffy,Bowler,RCB,,,,,
Yash Dayal,Bowler,RCB,,,,,
Ishan Kishan,WK-Batter,SRH,,,,,
Aniket Verma,Batter,SRH,,,,,
Smaran Ravichandran,Batter,SRH,,,,,
Salil Arora,WK-Batter,SRH,,,,,
Heinrich Klaasen,WK-Batter,SRH,,,,,
Travis Head,Batter,SRH,,,,,
Harshal Patel,All-Rounder,SRH,,,,,
Kamindu Mendis,All-Rounder,SRH,,,,,
Harsh Dubey,All-Rounder,SRH,,,,,
Brydon Carse,All-Rounder,SRH,,,,,
Shivang Kumar,All-Rounder,SRH,,,,,
Krains Fuletra,All-Rounder,SRH,,,,,
Liam Livingstone,All-Rounder,SRH,,,,,
Jack Edwards,All-Rounder,SRH,,,,,
Abhishek Sharma,All-Rounder,SRH,,,,,
Nitish Kumar Reddy,All-Rounder,SRH,,,,,
Pat Cummins,Bowler,SRH,,,,,
Zeeshan Ansari,Bowler,SRH,,,,,
Jaydev Unadkat,Bowler,SRH,,,,,
Eshan Malinga,Bowler,SRH,,,,,
Sakib Hussain,Bowler,SRH,,,,,
Onkar Tarmale,Bowler,SRH,,,,,
Amit Kumar,Bowler,SRH,,,,,
Praful Hinge,Bowler,SRH,,,,,
Shivam Mavi,Bowler,SRH,,,,,
